№ Образца,Адсорбент,"Tрег, ᵒС","W0, см3/г","E0, кДж/моль","х0, нм","а0, ммоль/г","E, кДж/моль","SБЭТ, м2/г","Ws, см3/г","Sme, м2/г","Wme, см3/г",Металл,Лиганд,Растворитель,"m (соли), г","m(кис-ты), г","Т.син., °С","Т суш., °С","Vсин. (р-ля), мл",Mix_solv_ratio
41,"MOF#MIX1(41,52,53,58,59)",130,0.49921788,16.06060606060606,0.7471698113207548,14.39,5.3,1325.1,0.84921788,236.7,0.35,Al,BTC,ДМФА,1.074,0.491,130,130,28.0,1
42,MOF#42,130,0.5561127600000001,15.42424242424242,0.7779960707269156,16.03,5.09,1310.4,0.95611276,306.0,0.4,Al,BTC,ДМФА,1.074,0.491,130,130,28.0,1
43,MOF#43,130,0.589764,15.21212121212121,0.7888446215139444,17.0,5.02,1412.6,1.039764,345.5,0.45,Al,BTC,ДМФА,1.075,0.492,130,130,28.0,1
45,MOF#45,130,0.51205392,15.87878787878788,0.7557251908396947,14.76,5.24,1362.6,0.91205392,288.4,0.4,Al,BTC,ДМФА,1.074,0.492,130,130,28.0,1
46,MOF#46,130,0.52107384,15.42424242424242,0.7779960707269156,15.02,5.09,1255.1,0.86107384,247.6,0.34,Al,BTC,ДМФА,1.074,0.492,130,130,28.0,1
47,MOF#47,130,0.58872324,14.75757575757576,0.813141683778234,16.97,4.87,1421.2,1.26872324,429.8,0.6799999999999999,Al,BTC,ДМФА,1.074,0.491,130,130,28.0,1
49,MOF#49,130,0.30390192,15.78787878787879,0.7600767754318618,8.76,5.21,683.6,0.42390192,73.8,0.12,Al,BTC,ДМФА/Этанол/Вода,1.074,0.492,130,130,28.0,1
50,MOF#50,130,0.10268832,26.03030303030303,0.4610011641443539,2.96,8.59,252.0,0.23268832,77.5,0.13,Cu,BTC,ДМФА/Этанол/Вода,0.97,0.492,130,130,28.0,1
51,MOF#51,130,0.1873368,16.96969696969697,0.7071428571428572,5.4,5.6,388.7,0.2073368,0.0,0.0199999999999999,Al,BTC,ДМФА/Этанол/Вода,1.074,0.492,130,130,28.0,1
54,MOF#54,130,0.56860188,15.27272727272727,0.7857142857142858,16.39,5.04,1378.3,1.14860188,413.0,0.58,Al,BTC,ДМФА,1.074,0.493,130,130,28.0,1
55,MOF#55,130,0.56652036,15.27272727272727,0.7857142857142858,16.33,5.04,1373.0,0.96652036,303.0,0.4,Al,BTC,ДМФА,1.074,0.491,130,130,28.0,1
62,MOF#Cu62,100,0.31014648,32.87878787878788,0.3649769585253457,8.94,10.85,631.2,0.31014648,0.0,0.0,Cu,BTC,ДМФА/Этанол/Вода,1.008,0.42,100,100,24.0,1
68,MOF#68,130,0.5169108,14.90909090909091,0.8048780487804879,14.9,4.92,1274.0,0.7469108,147.4,0.23,Al,BTC,ДМФА,1.074,0.491,130,100,28.0,1
68,MOF#68(200C),200,0.45168984,17.63636363636364,0.6804123711340206,13.02,5.82,1215.4,0.66168984,126.2,0.21,Al,BTC,ДМФА,1.074,0.491,130,100,28.0,1
68,MOF#68(250C),250,0.48291264,17.60606060606061,0.6815834767641997,13.92,5.81,1282.4,0.6729126400000001,126.8,0.1900000000000001,Al,BTC,ДМФА,1.074,0.491,130,100,28.0,1
68,MOF#68(300C),300,0.50234016,17.45454545454545,0.6875,14.48,5.76,1327.8,0.71234016,134.7,0.21,Al,BTC,ДМФА,1.074,0.491,130,100,28.0,1
68,MOF#68(350C),350,0.47666808,17.45454545454545,0.6875,13.74,5.76,1255.3,0.67666808,133.8,0.2,Al,BTC,ДМФА,1.074,0.491,130,100,28.0,1
68,MOF#68(400C),400,0.46244436,17.36363636363636,0.6910994764397906,13.33,5.73,1213.0,0.68244436,155.6,0.22,Al,BTC,ДМФА,1.074,0.491,130,100,28.0,1
69,"MOF#MIX3(69,74,75,79,80)",130,0.39271344,15.36363636363636,0.7810650887573964,11.32,5.07,896.3,0.57271344,83.7,0.18,Al,BTC,ДМФА,1.074,0.491,130,100,28.0,1
70,MOF#70,130,0.4614036,15.0,0.8,13.3,4.95,1130.4,0.6814036,149.3,0.22,Al,BTC,ДМФА,1.076,0.494,130,100,28.0,1
71,MOF#71-72,100,0.26227152,15.45454545454545,0.7764705882352941,7.56,5.1,584.6,0.37227152,55.9,0.11,Al,BTC,ДМФА,2.148,0.982,100,100,56.0,1
